frame,id,class,conf,speed_kph
75,17,car,0.48,27
75,21,car,0.85,34
75,25,car,0.73,36
75,27,car,0.62,36
76,17,car,0.66,14
76,21,car,0.82,18
76,25,car,0.81,24
76,27,car,0.53,28
77,17,car,0.65,6
77,21,car,0.83,21
77,25,car,0.79,22
77,27,car,0.67,34
77,43,toilet,0.75,0
78,17,car,0.66,25
78,21,car,0.77,25
78,25,car,0.82,33
78,27,car,0.69,31
78,43,toilet,0.69,4
79,17,car,0.72,21
79,21,car,0.8,25
79,25,car,0.83,29
79,27,car,0.77,32
79,43,chair,0.81,6
80,21,car,0.67,29
80,25,car,0.84,32
80,27,car,0.7,34
80,43,chair,0.5,1
81,21,car,0.69,16
81,25,car,0.73,19
81,27,car,0.73,24
81,43,chair,0.18,6
82,21,car,0.69,22
82,25,car,0.7,22
82,27,car,0.72,28
82,43,toilet,0.29,9
83,21,car,0.54,16
83,25,car,0.83,25
83,27,car,0.76,30
83,43,toilet,0.64,2
84,21,car,0.57,23
84,25,car,0.82,27
84,27,car,0.75,34
84,43,toilet,0.72,0
85,21,car,0.45,20
85,25,car,0.74,23
85,27,car,0.73,28
85,43,toilet,0.82,6
86,21,car,0.43,27
86,25,car,0.81,27
86,27,car,0.68,29
86,43,cell phone,0.44,30
87,21,car,0.42,20
87,25,car,0.81,31
87,27,car,0.79,32
87,43,cell phone,0.77,40
88,25,car,0.75,22
88,27,car,0.76,27
88,43,cell phone,0.74,43
89,25,car,0.66,9
89,27,car,0.76,23
89,43,cell phone,0.84,44
90,25,car,0.64,29
90,27,car,0.73,26
90,43,cell phone,0.89,43
91,25,car,0.61,20
91,27,car,0.77,26
91,43,cell phone,0.82,45
91,48,car,0.42,0
92,25,car,0.63,23
92,27,car,0.81,27
92,43,cell phone,0.88,43
92,48,car,0.54,44
93,25,car,0.58,17
93,27,car,0.79,19
93,43,cell phone,0.86,40
93,48,car,0.57,51
93,49,car,0.53,0
94,25,car,0.66,17
94,27,car,0.65,20
94,43,cell phone,0.9,41
94,48,car,0.41,40
